"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"273","Unincorporated - Lake Manor",126,7669,8655,2,122,88,1643
"274","Unincorporated - Lennox",3461,15354,15343,47,208,316,22542
"275","Unincorporated - Leona Valley",109,6225,7596,1,57,39,1751
"276","Unincorporated - Littlerock",529,13156,13163,7,174,156,4021
"277","Unincorporated - Littlerock/Juniper Hills",112,8635,9206,1,77,31,1297
"278","Unincorporated - Littlerock/Pearblossom",517,14486,14840,9,252,279,3569
"279","Unincorporated - Llano",37,4219,4423,1,114,60,877
"280","Unincorporated - Marina del Rey",358,3804,3263,3,32,30,9411
"281","Unincorporated - Monrovia",364,9379,9252,1,26,25,3881
"282","Unincorporated - Newhall",66,30000,30902,1,455,228,220
"283","Unincorporated - North Lancaster",149,12437,13170,2,167,94,1198
"284","Unincorporated - North Whittier",1094,13086,12943,28,335,281,8360
"285","Unincorporated - Northeast San Gabriel",1591,6619,6700,41,171,137,24036
"286","Unincorporated - Palmdale",109,12945,13393,4,475,475,842
"287","Unincorporated - Palos Verdes Peninsula",22,3543,4800,0,0,0,621
"288","Unincorporated - Pearblossom/Llano",115,5879,6466,1,51,20,1956
"289","Unincorporated - Pellissier Village",161,26010,25956,1,162,128,619
"290","Unincorporated - Placerita Canyon",1,217,146,0,0,0,460
"291","Unincorporated - Pomona",62,3199,7760,1,52,86,1938
"292","Unincorporated - Quartz Hill",1153,8934,8999,20,155,112,12906
"293","Unincorporated - Rancho Dominguez",373,14017,15233,5,188,119,2661
"294","Unincorporated - Roosevelt",85,9130,10116,0,0,0,931
"295","Unincorporated - Rosewood",151,11742,12671,3,233,161,1286
"296","Unincorporated - Rosewood/East Gardena",153,12825,13537,5,419,308,1193
"297","Unincorporated - Rosewood/West Rancho Dominguez",489,14549,14321,12,357,299,3361
"298","Unincorporated - Rowland Heights",3562,6981,6990,68,133,98,51022
"299","Unincorporated - San Francisquito Canyon/Bouquet C",15,1748,2357,0,0,0,858
